Steps,Policy/Entropy,Environment/Episode Length,TicTacToeWinner/Draw,TicTacToeWinner/X-Won,TicTacToeWinner/O-Won,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
4092000,0.028429959,3.2948717948717947,0.6993464052287581,0.21568627450980393,0.08496732026143791,4156.416458148333,0.3638357,0.36324786324786323,0.36324786324786323,0.004084948,0.12907413,0.00029999999,0.29999998,0.0049999994,1.0
4093000,0.03057203,3.266949152542373,0.6442953020134228,0.18791946308724833,0.16778523489932887,4161.898321861681,0.3745829,0.3760593220338983,0.3760593220338983,0.014803132,0.09568697,0.00029999999,0.29999998,0.0049999994,1.0
4094000,0.042761926,3.3076923076923075,0.6528925619834711,0.256198347107438,0.09090909090909091,4174.026520734464,0.35521373,0.36314655172413796,0.36314655172413796,0.012419612,0.11872119,0.00029999999,0.29999998,0.0049999994,1.0
4095000,0.098841764,3.3063457330415753,0.6031746031746031,0.2222222222222222,0.1746031746031746,4180.621245573062,0.36474144,0.36909871244635195,0.36909871244635195,0.009616315,0.11906472,0.00029999999,0.29999998,0.0049999994,1.0
4096000,0.11167337,3.308855291576674,0.6639344262295082,0.22950819672131148,0.10655737704918032,4184.603154040666,0.3586198,0.36853448275862066,0.36853448275862066,0.004971467,0.10855475,0.00029999999,0.29999998,0.0049999994,1.0
4097000,0.08407452,3.2948717948717947,0.6641221374045801,0.24427480916030533,0.0916030534351145,4196.426713615042,0.3679627,0.38090128755364805,0.38090128755364805,0.014467446,0.1306507,0.00029999999,0.29999998,0.0049999994,1.0
4098000,0.09474609,3.300639658848614,0.6993006993006993,0.22377622377622378,0.07692307692307693,4201.159148282162,0.37063867,0.37124463519313305,0.37124463519313305,0.0021557363,0.1285374,0.00029999999,0.29999998,0.0049999994,1.0
4099000,0.11173853,3.3021739130434784,0.6993006993006993,0.2097902097902098,0.09090909090909091,4201.193608225629,0.38712975,0.375,0.375,0.0022323555,0.11663543,0.00029999999,0.29999998,0.0049999994,1.0
4100000,0.04583732,3.29247311827957,0.6326530612244898,0.21768707482993196,0.14965986394557823,4201.193608225629,0.36932686,0.37446351931330474,0.37446351931330474,0.0035956183,0.127787,0.00029999999,0.29999998,0.0049999994,1.0
4101000,0.059464097,3.3189655172413794,0.7094594594594594,0.19594594594594594,0.0945945945945946,4201.947553612668,0.35492095,0.36147186147186144,0.36147186147186144,0.0050984956,0.12959956,0.00029999999,0.29999998,0.0049999994,1.0
4102000,0.05418423,3.3106382978723405,0.6428571428571429,0.2012987012987013,0.15584415584415584,4203.906158498949,0.36470294,0.36314655172413796,0.36314655172413796,0.0092889685,0.12779605,0.00029999999,0.29999998,0.0049999994,1.0
4103000,0.09261465,3.2536082474226804,0.7066666666666667,0.21333333333333335,0.08,4200.4175440181425,0.34568715,0.34893617021276596,0.34893617021276596,0.017850496,0.110279545,0.00029999999,0.29999998,0.0049999994,1.0
4104000,0.0903232,3.3160270880361176,0.7536231884057971,0.14492753623188406,0.10144927536231885,4189.3820145855325,0.33622432,0.3463203463203463,0.3463203463203463,0.028684607,0.12832633,0.00029999999,0.29999998,0.0049999994,1.0
4105000,0.09735489,3.3240343347639487,0.7248322147651006,0.18120805369127516,0.09395973154362416,4186.145402854802,0.35706025,0.3532608695652174,0.3532608695652174,0.009738807,0.12897359,0.00029999999,0.29999998,0.0049999994,1.0
4106000,0.091630995,3.320261437908497,0.7337662337662337,0.15584415584415584,0.11038961038961038,4195.686169233769,0.34029362,0.3398268398268398,0.3398268398268398,0.0076222536,0.12137027,0.00029999999,0.29999998,0.0049999994,1.0
4107000,0.1299283,3.3038793103448274,0.7333333333333333,0.18666666666666668,0.08,4194.058440323339,0.357915,0.36745689655172414,0.36745689655172414,0.00989909,0.12641639,0.00029999999,0.29999998,0.0049999994,1.0
4108000,0.11512311,3.2875536480686693,0.678082191780822,0.2191780821917808,0.10273972602739725,4186.57677067655,0.36201215,0.36802575107296137,0.36802575107296137,0.011290701,0.13669476,0.00029999999,0.29999998,0.0049999994,1.0
4109000,0.094402276,3.3218884120171674,0.695364238410596,0.1986754966887417,0.10596026490066225,4185.837748658625,0.35905182,0.3647186147186147,0.3647186147186147,0.00582082,0.12683646,0.00029999999,0.29999998,0.0049999994,1.0
4110000,0.11717819,3.3240343347639487,0.695364238410596,0.19205298013245034,0.11258278145695365,4185.837748658625,0.35677773,0.36363636363636365,0.36363636363636365,0.008077171,0.12687278,0.00029999999,0.29999998,0.0049999994,1.0
4111000,0.10121195,3.3058568329718003,0.696551724137931,0.21379310344827587,0.0896551724137931,4185.837748658625,0.3618084,0.36745689655172414,0.36745689655172414,0.008193306,0.12783358,0.00029999999,0.29999998,0.0049999994,1.0
4112000,0.066815175,3.3153347732181424,0.7172413793103448,0.2,0.08275862068965517,4189.782941799021,0.35673115,0.36745689655172414,0.36745689655172414,0.011104107,0.14255053,0.00029999999,0.29999998,0.0049999994,1.0
4113000,0.082515426,3.2729211087420045,0.647887323943662,0.22535211267605634,0.1267605633802817,4202.711925385644,0.37771192,0.3872340425531915,0.3872340425531915,0.0065208506,0.12319746,0.00029999999,0.29999998,0.0049999994,1.0
4114000,0.102059774,3.2987012987012987,0.5725190839694656,0.2748091603053435,0.15267175572519084,4205.905395711483,0.35457206,0.35560344827586204,0.35560344827586204,0.018221566,0.10780184,0.00029999999,0.29999998,0.0049999994,1.0
4115000,0.09197598,3.3126338329764455,0.6370967741935484,0.20967741935483872,0.1532258064516129,4216.7815253634235,0.3567689,0.3642241379310345,0.3642241379310345,0.007785789,0.12321846,0.00029999999,0.29999998,0.0049999994,1.0
4116000,0.09033857,3.3178947368421055,0.6287878787878788,0.22727272727272727,0.14393939393939395,4224.37685143989,0.36057582,0.3582251082251082,0.3582251082251082,0.004347248,0.11446968,0.00029999999,0.29999998,0.0049999994,1.0
4117000,0.06977041,3.3015521064301554,0.639344262295082,0.26229508196721313,0.09836065573770492,4233.740413016243,0.35595638,0.36745689655172414,0.36745689655172414,0.013570333,0.13929987,0.00029999999,0.29999998,0.0049999994,1.0
4118000,0.090731286,3.301282051282051,0.6015037593984962,0.2556390977443609,0.14285714285714285,4234.798712951023,0.35813442,0.36796536796536794,0.36796536796536794,0.0039302087,0.117355295,0.00029999999,0.29999998,0.0049999994,1.0
4119000,0.10960549,3.3051948051948052,0.6076923076923076,0.24615384615384617,0.14615384615384616,4234.798712951023,0.36778638,0.3701716738197425,0.3701716738197425,0.0077337273,0.12730461,0.00029999999,0.29999998,0.0049999994,1.0
4120000,0.12060024,3.3096774193548386,0.6377952755905512,0.2677165354330709,0.09448818897637795,4234.798712951024,0.3610184,0.37012987012987014,0.37012987012987014,0.009779409,0.12704168,0.00029999999,0.29999998,0.0049999994,1.0
4121000,0.13893141,3.295744680851064,0.5769230769230769,0.25384615384615383,0.16923076923076924,4234.798712951024,0.3679273,0.37393162393162394,0.37393162393162394,0.0038784351,0.113735825,0.00029999999,0.29999998,0.0049999994,1.0
4122000,0.14183703,3.3058568329718003,0.6328125,0.234375,0.1328125,4234.798712951023,0.3616933,0.36853448275862066,0.36853448275862066,0.007549173,0.12364271,0.00029999999,0.29999998,0.0049999994,1.0
4123000,0.1334494,3.2521186440677967,0.6766917293233082,0.24060150375939848,0.08270676691729323,4234.798712951024,0.37093812,0.37340425531914895,0.37340425531914895,0.016730644,0.13636634,0.00029999999,0.29999998,0.0049999994,1.0
4124000,0.09606738,3.3036876355748372,0.6938775510204082,0.21768707482993196,0.08843537414965986,4233.146516349033,0.3668238,0.3588362068965517,0.3588362068965517,0.008713518,0.11921704,0.00029999999,0.29999998,0.0049999994,1.0
4125000,0.08925164,3.3153347732181424,0.7124183006535948,0.20261437908496732,0.08496732026143791,4231.6039174614825,0.36009493,0.3630434782608696,0.3630434782608696,0.007973391,0.14011225,0.00029999999,0.29999998,0.0049999994,1.0
4126000,0.08117285,3.3096774193548386,0.7285714285714285,0.20714285714285716,0.06428571428571428,4231.701564668937,0.35899922,0.36314655172413796,0.36314655172413796,0.0074905595,0.1106204,0.00029999999,0.29999998,0.0049999994,1.0
4127000,0.1545431,3.30752688172043,0.6853146853146853,0.1958041958041958,0.11888111888111888,4232.200144076881,0.37931338,0.3739224137931034,0.3739224137931034,0.0050260443,0.12850544,0.00029999999,0.29999998,0.0049999994,1.0
4128000,0.1371291,3.3073593073593073,0.7357142857142858,0.20714285714285716,0.05714285714285714,4234.755509468732,0.3626302,0.3706896551724138,0.3706896551724138,0.007971336,0.12493238,0.00029999999,0.29999998,0.0049999994,1.0
4129000,0.12494315,3.3060796645702304,0.6838709677419355,0.2,0.11612903225806452,4245.728693917661,0.36481577,0.36373390557939916,0.36373390557939916,0.015537436,0.113286905,0.00029999999,0.29999998,0.0049999994,1.0
4130000,0.1492365,3.290794979079498,0.7098765432098766,0.19753086419753085,0.09259259259259259,4247.647642213903,0.34996283,0.3497854077253219,0.3497854077253219,0.023802575,0.105728574,0.00029999999,0.29999998,0.0049999994,1.0
4131000,0.14317496,3.3068181818181817,0.7254901960784313,0.1830065359477124,0.0915032679738562,4247.030976054399,0.35545808,0.36853448275862066,0.36853448275862066,0.0041501345,0.12001646,0.00029999999,0.29999998,0.0049999994,1.0
4132000,0.13456854,3.3153347732181424,0.7607361963190185,0.20245398773006135,0.03680981595092025,4245.728179642724,0.36056134,0.3625541125541126,0.3625541125541126,0.006918334,0.14660081,0.00029999999,0.29999998,0.0049999994,1.0
4133000,0.14601277,3.256900212314225,0.6770186335403726,0.21739130434782608,0.10559006211180125,4245.291647059313,0.36236584,0.3781779661016949,0.3781779661016949,0.021685842,0.11641271,0.00029999999,0.29999998,0.0049999994,1.0
4134000,0.12477634,3.2995689655172415,0.7125748502994012,0.17365269461077845,0.11377245508982035,4246.949340675993,0.3658141,0.37339055793991416,0.37339055793991416,0.009076497,0.12893882,0.00029999999,0.29999998,0.0049999994,1.0
4135000,0.14316155,3.3175965665236054,0.7425149700598802,0.18562874251497005,0.0718562874251497,4252.170534937323,0.35778657,0.3538961038961039,0.3538961038961039,0.022343144,0.11715527,0.00029999999,0.29999998,0.0049999994,1.0
4136000,0.1353826,3.3203463203463204,0.7325581395348837,0.18023255813953487,0.0872093023255814,4252.632232879449,0.35088125,0.3560606060606061,0.3560606060606061,0.008761257,0.123099536,0.00029999999,0.29999998,0.0049999994,1.0
4137000,0.15974365,3.3203463203463204,0.7305389221556886,0.18562874251497005,0.08383233532934131,4252.632232879449,0.36226445,0.36796536796536794,0.36796536796536794,0.0025296127,0.13225383,0.00029999999,0.29999998,0.0049999994,1.0
4138000,0.14725168,3.30752688172043,0.7116564417177914,0.1901840490797546,0.09815950920245399,4253.241257758435,0.35918808,0.3641304347826087,0.3641304347826087,0.0062791295,0.10956951,0.00029999999,0.29999998,0.0049999994,1.0
4139000,0.16561626,3.28051391862955,0.7142857142857143,0.20833333333333334,0.07738095238095238,4256.256089960065,0.36706367,0.37286324786324787,0.37286324786324787,0.00051296566,0.12889695,0.00029999999,0.29999998,0.0049999994,1.0
4140000,0.2001892,3.306695464362851,0.7455621301775148,0.17751479289940827,0.07692307692307693,4256.63633198668,0.36208928,0.36314655172413796,0.36314655172413796,0.0022980755,0.124193914,0.00029999999,0.29999998,0.0049999994,1.0
4141000,0.18391138,3.324675324675325,0.7109826589595376,0.17341040462427745,0.11560693641618497,4256.636331986679,0.35512248,0.3599137931034483,0.3599137931034483,0.026170118,0.1337392,0.00029999999,0.29999998,0.0049999994,1.0
4142000,0.1700266,3.3376623376623376,0.7398843930635838,0.1676300578034682,0.09248554913294797,4256.636331986679,0.35776177,0.36745689655172414,0.36745689655172414,0.0081068985,0.13075444,0.00029999999,0.29999998,0.0049999994,1.0
4143000,0.16368416,3.2425531914893617,0.6770186335403726,0.19254658385093168,0.13043478260869565,4256.63633198668,0.33666226,0.3478723404255319,0.3478723404255319,0.029036418,0.12515262,0.00029999999,0.29999998,0.0049999994,1.0
4144000,0.16653308,3.29957805907173,0.6818181818181818,0.18831168831168832,0.12987012987012986,4258.261697231702,0.3571232,0.35129310344827586,0.35129310344827586,0.028085051,0.113390476,0.00029999999,0.29999998,0.0049999994,1.0
4145000,0.19111598,3.287784679089027,0.656441717791411,0.20245398773006135,0.1411042944785276,4269.726501550951,0.36268702,0.36909871244635195,0.36909871244635195,0.004541394,0.12357756,0.00029999999,0.29999998,0.0049999994,1.0
4146000,0.17926499,3.317351598173516,0.7074829931972789,0.19047619047619047,0.10204081632653061,4278.207252978601,0.34883064,0.3528138528138528,0.3528138528138528,0.023427293,0.105324745,0.00029999999,0.29999998,0.0049999994,1.0
4147000,0.1857406,3.308351177730193,0.6778523489932886,0.21476510067114093,0.10738255033557047,4278.77106956733,0.3680666,0.37339055793991416,0.37339055793991416,0.006769114,0.12775607,0.00029999999,0.29999998,0.0049999994,1.0
4148000,0.19786967,3.3080260303687634,0.6907894736842105,0.2236842105263158,0.08552631578947369,4279.206703994812,0.36111712,0.36909871244635195,0.36909871244635195,0.0023885397,0.119118765,0.00029999999,0.29999998,0.0049999994,1.0
4149000,0.17997354,3.3119658119658117,0.68,0.23333333333333334,0.08666666666666667,4282.707053068736,0.36988595,0.3760775862068966,0.3760775862068966,0.0035834953,0.12086448,0.00029999999,0.29999998,0.0049999994,1.0
4150000,0.16858016,3.3173913043478263,0.6666666666666666,0.20567375886524822,0.1276595744680851,4285.2528045412655,0.36338702,0.36530172413793105,0.36530172413793105,0.010265042,0.13266596,0.00029999999,0.29999998,0.0049999994,1.0
4151000,0.15393122,3.313978494623656,0.6308724832214765,0.22818791946308725,0.14093959731543623,4288.638116771286,0.36274785,0.3642241379310345,0.3642241379310345,0.020259123,0.14203648,0.00029999999,0.29999998,0.0049999994,1.0
4152000,0.15388097,3.2995689655172415,0.6756756756756757,0.20270270270270271,0.12162162162162163,4289.500333436865,0.36482358,0.36853448275862066,0.36853448275862066,0.0048620016,0.11425975,0.00029999999,0.29999998,0.0049999994,1.0
